Id,Victimas,Sexo,Edad,Rol,Victima,Acusado,Fecha,Semestre,Franja_Horaria,Lugar_Del_Hecho,Tipo_De_Calle,Calle,Direccion,Altura\Cruce,Comuna,Longitud,Latitud
2018-0012,1,MASCULINO,20,CONDUCTOR,MOTO,PASAJEROS,2018-01-26,1,13,"Oliden y Chilavert, Martiniano, Coronel",CALLE,OLIDEN,"OLIDEN y CHILAVERT, MARTINIANO, CORONEL","CHILAVERT, MARTINIANO, CORONEL",8,-58.46912006,-34.68049201
2018-0013,1,MASCULINO,44,CONDUCTOR,MOTO,AUTO,2018-01-28,1,8,Congreso Av. y Galvan,AVENIDA,CONGRESO AV.,CONGRESO AV. y GALVAN,GALVAN,12,-58.48661286,-34.56786129
2018-0014,1,MASCULINO,42,PEATON,PEATON,MOTO,2018-01-31,1,20,"Moreno, Perito Av. y Rivera Indarte",AVENIDA,"MORENO, PERITO AV.","MORENO, PERITO AV. y RIVERA INDARTE AV.",RIVERA INDARTE AV.,7,-58.44074927,-34.65080597
2018-0015,2,MASCULINO,28,CONDUCTOR,MOTO,PASAJEROS,2018-02-06,1,1,Australia Av. 2800,AVENIDA,AUSTRALIA AV.,AUSTRALIA AV. 2800,2800.0,4,-58.38636298,-34.64684275
2018-0015,2,MASCULINO,19,PASAJERO_ACOMPAÑANTE,MOTO,PASAJEROS,2018-02-06,1,1,Australia Av. 2800,AVENIDA,AUSTRALIA AV.,AUSTRALIA AV. 2800,2800.0,4,-58.38636298,-34.64684275
2018-0016,1,MASCULINO,31,CONDUCTOR,MOTO,CARGAS,2018-02-15,1,10,"Del Libertador Av. y Ramos Mejia, Jose Maria, Dr. Av.",AVENIDA,DEL LIBERTADOR AV.,"DEL LIBERTADOR AV. y RAMOS MEJIA, JOSE MARIA, DR. AV.","RAMOS MEJIA, JOSE MARIA, DR. AV.",1,-58.37533517,-34.59276462
2018-0017,1,MASCULINO,35,PEATON,PEATON,AUTO,2018-02-17,1,4,San Pedrito Av. y Rivadavia Av.,AVENIDA,SAN PEDRITO AV.,SAN PEDRITO AV. y RIVADAVIA AV.,RIVADAVIA AV.,7,-58.46963952,-34.63070603
2018-0018,1,MASCULINO,26,CONDUCTOR,MOTO,CARGAS,2018-02-17,1,7,"Isabel La Catolica y Salvadores, Cnel.",CALLE,ISABEL LA CATOLICA,"ISABEL LA CATOLICA y SALVADORES, CNEL.","SALVADORES, CNEL.",4,-58.37207554,-34.64543658
2018-0019,1,FEMENINO,80,PEATON,PEATON,PASAJEROS,2018-02-17,1,12,Las Heras General Av. y Callao Av.,AVENIDA,LAS HERAS GENERAL AV.,LAS HERAS GENERAL AV. y CALLAO AV.,CALLAO AV.,2,-58.39189441,-34.59176378
2018-0020,1,MASCULINO,26,CONDUCTOR,MOTO,CARGAS,2018-02-19,1,22,Fernandez de la Cruz Subida AU Héctor J. Cámpora,AUTOPISTA,AUTOPISTA PRESIDENTE HECTOR J. CAMPORA,"FERNANDEZ DE LA CRUZ F., GRAL. AV. y AUTOPISTA PRESIDENTE HECTOR J. CAMPORA",N/D,8,-58.45012957,-34.66518343
2018-0021,1,FEMENINO,62,PEATON,PEATON,PASAJEROS,2018-02-22,1,10,AMANCIO ALCORTA Y ZAVALETA,AVENIDA,"ALCORTA, AMANCIO AV.","ALCORTA, AMANCIO AV. y ZAVALETA",ZAVALETA,4,-58.40184094,-34.64546845
2018-0022,1,MASCULINO,28,CONDUCTOR,MOTO,CARGAS,2018-02-24,1,0,"Montes De Oca, Manuel y Olavarria",AVENIDA,"MONTES DE OCA, MANUEL AV.","MONTES DE OCA, MANUEL AV. y OLAVARRIA",OLAVARRIA,4,-58.37441153,-34.63966783
2018-0023,1,MASCULINO,28,CONDUCTOR,MOTO,AUTO,2018-02-24,1,6,Barco Centenera Del y Rosario,CALLE,BARCO CENTENERA DEL,BARCO CENTENERA DEL y ROSARIO,ROSARIO,6,-58.44110156,-34.62082399
2018-0024,1,MASCULINO,70,PEATON,PEATON,CARGAS,2018-02-28,1,23,Alvarez Thomas Av. y Donado,AVENIDA,ALVAREZ THOMAS AV.,ALVAREZ THOMAS AV. y DONADO,DONADO,15,-58.47087351,-34.57827342
2018-0025,1,MASCULINO,70,PEATON,PEATON,AUTO,2018-03-04,1,22,Av. Avellaneda y Av. Boyacá,AVENIDA,AVELLANEDA AV.,AVELLANEDA AV. y BOYACA AV.,BOYACA AV.,7,-58.4596221,-34.6224514
2018-0026,2,MASCULINO,24,CONDUCTOR,MOVIL,CARGAS,2018-03-09,1,4,"Rabanal, Francisco, Intendente Av. y Saenz Av.",AVENIDA,"RABANAL, FRANCISCO, INTENDENTE AV.","RABANAL, FRANCISCO, INTENDENTE AV. y SAENZ AV.",SAENZ AV.,4,-58.41657793,-34.65476216
2018-0026,2,MASCULINO,30,PASAJERO_ACOMPAÑANTE,MOVIL,CARGAS,2018-03-09,1,4,"Rabanal, Francisco, Intendente Av. y Saenz Av.",AVENIDA,"RABANAL, FRANCISCO, INTENDENTE AV.","RABANAL, FRANCISCO, INTENDENTE AV. y SAENZ AV.",SAENZ AV.,4,-58.41657793,-34.65476216
2018-0027,1,FEMENINO,74,PEATON,PEATON,MOTO,2018-03-11,1,23,Castro y Rondeau,CALLE,CASTRO,CASTRO y RONDEAU,RONDEAU,5,-58.41911301,-34.63722107
2018-0028,1,MASCULINO,71,PEATON,PEATON,CARGAS,2018-03-13,1,15,"Bilbao, Francisco Av. y Azul",AVENIDA,"BILBAO, FRANCISCO AV.","BILBAO, FRANCISCO AV. y AZUL",AZUL,9,-58.47120586,-34.64251042
2018-0029,1,MASCULINO,26,CONDUCTOR,MOTO,AUTO,2018-03-15,1,18,Nazca Av. y Gaona Av.,AVENIDA,NAZCA AV.,NAZCA AV. y GAONA AV.,GAONA AV.,11,-58.47418944,-34.62049672
2018-0030,1,MASCULINO,24,CONDUCTOR,MOTO,MOTO,2018-03-20,1,1,Plaza y Alvarez Thomas Av.,AVENIDA,PLAZA,PLAZA y ALVAREZ THOMAS AV.,ALVAREZ THOMAS AV.,15,-58.46720441,-34.57905579
2018-0031,1,MASCULINO,31,CONDUCTOR,MOTO,CARGAS,2018-03-28,1,10,"Gaona Av. y Artigas, Jose Gervasio, Gral.",AVENIDA,GAONA AV.,"GAONA AV. y ARTIGAS, JOSE GERVASIO, GRAL.","ARTIGAS, JOSE GERVASIO, GRAL.",11,-58.46909362,-34.6177971
2018-0032,1,MASCULINO,70,PEATON,PEATON,PASAJEROS,2018-04-02,1,13,Cabildo Av. y Aguilar,AVENIDA,CABILDO AV.,CABILDO AV. y AGUILAR,AGUILAR,13,-58.44704343,-34.5688864
2018-0033,1,FEMENINO,42,CONDUCTOR,MOTO,CARGAS,2018-04-07,1,7,Camarones y Lope De Vega Av.,AVENIDA,CAMARONES,CAMARONES y LOPE DE VEGA AV.,LOPE DE VEGA AV.,10,-58.50535541,-34.62902048
2018-0034,1,MASCULINO,24,PEATON,PEATON,PASAJEROS,2018-04-11,1,18,Santa Fe Av. 2320,AVENIDA,SANTA FE AV.,SANTA FE AV. 2320,2320.0,2,-58.40021675,-34.59522198
2018-0035,1,FEMENINO,39,PEATON,PEATON,PASAJEROS,2018-04-12,1,16,Av. Rivadavia 6950,AVENIDA,RIVADAVIA AV.,RIVADAVIA AV. 6950,6950.0,7,-58.46325991,-34.62919627
2018-0036,1,MASCULINO,37,CONDUCTOR,MOTO,AUTO,2018-04-13,1,23,Av. San Martín y Argerich,AVENIDA,SAN MARTIN AV.,SAN MARTIN AV. y ARGERICH,ARGERICH,15,-58.49471482,-34.59694755
2018-0037,1,MASCULINO,84,PEATON,PEATON,CARGAS,2018-04-18,1,18,"Cordoba Av. y Uriburu Jose E., Pres.",AVENIDA,CORDOBA AV.,"CORDOBA AV. y URIBURU JOSE E., PRES.","URIBURU JOSE E., PRES.",2,-58.3987261,-34.59975962
2018-0038,2,FEMENINO,59,PEATON,PEATON,AUTO,2018-04-20,1,17,AV. RIVADAVIA 1571,AVENIDA,RIVADAVIA AV.,RIVADAVIA AV. 1571,1571.0,1,-58.38872177,-34.60885045
2018-0038,2,MASCULINO,61,PEATON,PEATON,AUTO,2018-04-20,1,17,AV. RIVADAVIA 1571,AVENIDA,RIVADAVIA AV.,RIVADAVIA AV. 1571,1571.0,1,-58.38872177,-34.60885045
2018-0039,1,MASCULINO,37,PEATON,PEATON,AUTO,2018-04-21,1,22,AUTOPISTA LUGONES KM 4.7,AUTOPISTA,"LUGONES, LEOPOLDO AV.",AUTOPISTA LUGONES KM 4.7,N/D,14,-58.37723,-34.61315
2018-0040,1,FEMENINO,42,PEATON,PEATON,CARGAS,2018-04-27,1,11,Ramon Freire y Virrey Olaguer y Feliu,CALLE,"FREIRE, RAMON, CAP. GRAL.","FREIRE, RAMON, CAP. GRAL. y OLAGUER Y FELIU, VIRREY","OLAGUER Y FELIU, VIRREY",13,-58.45686132,-34.57305993
2018-0041,1,FEMENINO,78,PEATON,PEATON,PASAJEROS,2018-04-27,1,13,"La Plata Av. y Fernandez De La Cruz, F., Gral. Av.",AVENIDA,LA PLATA AV.,"LA PLATA AV. y FERNANDEZ DE LA CRUZ, F., GRAL. AV.","FERNANDEZ DE LA CRUZ, F., GRAL. AV.",4,-58.42281627,-34.64282424
2018-0042,1,MASCULINO,23,PASAJERO_ACOMPAÑANTE,MOTO,CARGAS,2018-04-27,1,18,BRANDSEN y PERDRIEL,CALLE,BRANDSEN,BRANDSEN y PERDRIEL,PERDRIEL,4,-58.38666024,-34.63953396
2018-0043,1,MASCULINO,25,CONDUCTOR,MOTO,AUTO,2018-04-28,1,6,"Vilardebo, Teodoro y Alvarez Jonte Av.",AVENIDA,"VILARDEBO, TEODORO","VILARDEBO, TEODORO y ALVAREZ JONTE AV.",ALVAREZ JONTE AV.,11,-58.49122843,-34.61207587
2018-0044,1,FEMENINO,50,PEATON,PEATON,AUTO,2018-04-28,1,9,Alberti e Independencia Av.,AVENIDA,ALBERTI,ALBERTI e INDEPENDENCIA AV.,INDEPENDENCIA AV.,3,-58.40098306,-34.61866627
2018-0045,1,MASCULINO,60,CONDUCTOR,AUTO,CARGAS,2018-04-30,1,7,Alvarez Thomas Av. 879,AVENIDA,ALVAREZ THOMAS AV.,ALVAREZ THOMAS AV. 879,879.0,13,-58.45448963,-34.5791692
2018-0046,1,MASCULINO,11,PEATON,PEATON,AUTO,2018-05-02,1,3,Av. Gral. Paz y Av. Rivadavia,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y RIVADAVIA AV.",RIVADAVIA AV.,9,-58.52927982,-34.63931752
2018-0047,1,MASCULINO,82,PEATON,PEATON,PASAJEROS,2018-05-08,1,19,Av. Corrientes y Av. Dorrego,AVENIDA,CORRIENTES AV.,CORRIENTES AV. y DORREGO AV.,DORREGO AV.,15,-58.44759966,-34.5917024
2018-0048,1,MASCULINO,57,PEATON,PEATON,PASAJEROS,2018-05-09,1,10,Rivadavia Av. y Pedernera,AVENIDA,RIVADAVIA AV.,RIVADAVIA AV. y PEDERNERA,PEDERNERA,7,-58.46411215,-34.62925068
2018-0049,1,FEMENINO,40,PEATON,PEATON,AUTO,2018-05-11,1,19,Quesada 2300,CALLE,QUESADA,QUESADA 2300,2300.0,13,-58.4621322,-34.55395823
2018-0050,1,FEMENINO,47,PEATON,PEATON,PASAJEROS,2018-05-14,1,18,Cabildo Av. y Juramento Av.,AVENIDA,CABILDO AV.,CABILDO AV. y JURAMENTO AV.,JURAMENTO AV.,13,-58.45669422,-34.5620361
2018-0051,1,FEMENINO,57,PEATON,PEATON,AUTO,2018-05-15,1,21,"California y Carbonari, Francisco, Cmte.",CALLE,CALIFORNIA,"CALIFORNIA y CARBONARI, FRANCISCO, CMTE.","CARBONARI, FRANCISCO, CMTE.",4,-58.3597716,-34.64341878
2018-0052,1,MASCULINO,78,PEATON,PEATON,PASAJEROS,2018-05-18,1,20,"Carril, Salvador Maria Del Av. y Nazca",AVENIDA,"CARRIL, SALVADOR MARIA DEL AV.","CARRIL, SALVADOR MARIA DEL AV. y NAZCA",NAZCA,15,-58.49820145,-34.59070093
2018-0053,1,MASCULINO,43,CONDUCTOR,MOTO,AUTO,2018-05-20,1,2,San Luis y Aguero,CALLE,SAN LUIS,SAN LUIS y AGUERO,AGUERO,3,-58.4105928,-34.5993918
2018-0054,1,FEMENINO,86,PEATON,PEATON,BICICLETA,2018-05-22,1,11,Lugones 2430,CALLE,LUGONES,LUGONES 2430,2430.0,12,-58.47969138,-34.57121563
2018-0055,1,MASCULINO,21,CONDUCTOR,MOTO,AUTO,2018-05-29,1,7,Independencia Av. y Jujuy Av.,AVENIDA,INDEPENDENCIA AV.,INDEPENDENCIA AV. y JUJUY AV.,JUJUY AV.,3,-58.40351561,-34.61883916
2018-0056,1,FEMENINO,69,PEATON,PEATON,PASAJEROS,2018-06-02,1,13,Av. Rivadavia 11050,AVENIDA,RIVADAVIA AV.,RIVADAVIA AV. 11050,11050.0,9,-58.51973844,-34.63918987
2018-0057,1,MASCULINO,33,CONDUCTOR,MOTO,PASAJEROS,2018-06-03,1,3,Combate De Los Pozos y Humberto 1°,CALLE,COMBATE DE LOS POZOS,COMBATE DE LOS POZOS y HUMBERTO 1Â°,HUMBERTO 1?,3,-58.39311376,-34.62163006
2018-0058,1,MASCULINO,26,CONDUCTOR,MOTO,AUTO,2018-06-03,1,6,Cordoba Av. y Thames,AVENIDA,CORDOBA AV.,CORDOBA AV. y THAMES,THAMES,15,-58.43531242,-34.59082159
2018-0059,1,MASCULINO,54,CONDUCTOR,MOTO,OTRO,2018-06-08,1,6,"Garay, Juan De Av. y Sanchez De Loria",AVENIDA,"GARAY, JUAN DE AV.","GARAY, JUAN DE AV. y SANCHEZ DE LORIA",SANCHEZ DE LORIA,5,-58.41178165,-34.63035454
2018-0060,1,MASCULINO,51,PEATON,PEATON,PASAJEROS,2018-06-08,1,12,"Lavalle y Alem, Leandro N. Av.",AVENIDA,LAVALLE,"LAVALLE y ALEM, LEANDRO N. AV.","ALEM, LEANDRO N. AV.",1,-58.370488,-34.60189492
2018-0061,1,MASCULINO,51,CONDUCTOR,MOTO,MOTO,2018-06-10,1,11,Estados Unidos y Pichincha,CALLE,ESTADOS UNIDOS,ESTADOS UNIDOS y PICHINCHA,PICHINCHA,3,-58.39883882,-34.61964833
2018-0062,1,MASCULINO,32,PEATON,PEATON,CARGAS,2018-06-14,1,1,Rosario y Barco Centenera Del,CALLE,ROSARIO,ROSARIO y BARCO CENTENERA DEL,BARCO CENTENERA DEL,6,-58.44110156,-34.62082399
2018-0063,1,FEMENINO,28,PEATON,PEATON,PASAJEROS,2018-06-16,1,21,Av. Leandro N. Alem y Viamonte,AVENIDA,"ALEM, LEANDRO N. AV.","ALEM, LEANDRO N. AV. y VIAMONTE",VIAMONTE,1,-58.37093138,-34.59952725
2018-0064,1,MASCULINO,30,CONDUCTOR,AUTO,CARGAS,2018-06-25,1,1,Varela Av. y Primera Junta,AVENIDA,VARELA AV.,VARELA AV. y PRIMERA JUNTA,PRIMERA JUNTA,7,-58.45855262,-34.63953253
2018-0065,1,MASCULINO,35,CONDUCTOR,MOTO,CARGAS,2018-06-26,1,17,"Pellegrini, Carlos y Juncal",CALLE,"PELLEGRINI, CARLOS","PELLEGRINI, CARLOS y JUNCAL",JUNCAL,1,-58.38161909,-34.59283447
2018-0066,1,MASCULINO,73,PEATON,PEATON,PASAJEROS,2018-06-28,1,11,Av. Corrientes y Av. Federico Lacroze,AVENIDA,CORRIENTES AV.,"CORRIENTES AV. y LACROZE, FEDERICO AV.","LACROZE, FEDERICO AV.",15,-58.45511899,-34.58698157
2018-0067,1,FEMENINO,81,PASAJERO_ACOMPAÑANTE,PASAJEROS,AUTO,2018-06-29,1,16,"Montes De Oca, Manuel y Finochietto Enrique Dr.",AVENIDA,"MONTES DE OCA, MANUEL AV.","MONTES DE OCA, MANUEL AV. y FINOCHIETTO ENRIQUE DR.",FINOCHIETTO ENRIQUE DR.,4,-58.37724226,-34.62973033
2018-0068,1,MASCULINO,21,CONDUCTOR,MOTO,AUTO,2018-07-01,2,9,"Carabobo Av. y Alberdi, Juan Bautista Av.",AVENIDA,CARABOBO AV.,"CARABOBO AV. y ALBERDI, JUAN BAUTISTA AV.","ALBERDI, JUAN BAUTISTA AV.",7,-58.45546217,-34.62930339
2018-0069,1,MASCULINO,20,CICLISTA,BICICLETA,PASAJEROS,2018-07-04,2,21,"Córdoba Av. 2215

",AVENIDA,CORDOBA AV.,CORDOBA AV. 2215,2215.0,2,-58.39897064,-34.59954925
2018-0070,1,MASCULINO,33,CONDUCTOR,MOTO,PASAJEROS,2018-07-07,2,15,"Estados Unidos y Urquiza, Gral.",CALLE,ESTADOS UNIDOS,"ESTADOS UNIDOS y URQUIZA, GRAL.","URQUIZA, GRAL.",3,-58.40917826,-34.62126274
2018-0071,1,MASCULINO,42,CONDUCTOR,MOTO,CARGAS,2018-07-10,2,17,Moreno y Av. Huergo,AVENIDA,MORENO,"MORENO y HUERGO, ING. AV.","HUERGO, ING. AV.",1,-58.36726348,-34.61099738
2018-0072,1,MASCULINO,27,CONDUCTOR,MOTO,CARGAS,2018-07-11,2,13,"AU Dellepiane kilometro 0.0, altura calle Montiel, sentido hacia el Centro Porteño",AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y MONTIEL,N/D,8,-58.48267426,-34.68454456
2018-0073,1,FEMENINO,67,PEATON,PEATON,CARGAS,2018-07-11,2,15,"Iriarte, Gral. Av. 3400",AVENIDA,"IRIARTE, GRAL. AV.","IRIARTE, GRAL. AV. 3400",3400.0,4,-58.39546165,-34.65168841
2018-0074,1,MASCULINO,25,CONDUCTOR,AUTO,CARGAS,2018-07-14,2,6,AV. JUAN B. ALBERDI 2968,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.","ALBERDI, JUAN BAUTISTA AV. 2968",2968.0,7,-58.46941984,-34.63376545
2018-0075,1,MASCULINO,23,PEATON,PEATON,AUTO,2018-07-15,2,7,Del Libertador Av. y Ortiz De Ocampo,AVENIDA,DEL LIBERTADOR AV.,DEL LIBERTADOR AV. y ORTIZ DE OCAMPO,ORTIZ DE OCAMPO,14,-58.40367321,-34.58129246
2018-0076,1,MASCULINO,73,CONDUCTOR,AUTO,CARGAS,2018-07-16,2,9,"Chavez, Jorge y Paz, Gral. Av.",CALLE,"CHAVEZ, JORGE","CHAVEZ, JORGE y PAZ, GRAL. AV.","PAZ, GRAL. AV.",9,-58.52932872,-34.65014993
2018-0077,1,MASCULINO,58,CONDUCTOR,AUTO,CARGAS,2018-07-16,2,23,"Urquiza, Gral. y Estados Unidos",CALLE,"URQUIZA, GRAL.","URQUIZA, GRAL. y ESTADOS UNIDOS",ESTADOS UNIDOS,3,-58.40917826,-34.62126274
2018-0078,1,MASCULINO,27,PEATON,PEATON,AUTO,2018-07-21,2,6,Paraguay y Sánchez De Bustamante,CALLE,PARAGUAY,PARAGUAY y SANCHEZ DE BUSTAMANTE,SANCHEZ DE BUSTAMANTE,2,-58.41264127,-34.59473294
2018-0079,1,MASCULINO,42,PEATON,PEATON,CARGAS,2018-07-23,2,7,"De Los Corrales Av. y Paz, Gral. Av.",GRAL PAZ,DE LOS CORRALES AV.,"DE LOS CORRALES AV. y PAZ, GRAL. AV.","PAZ, GRAL. AV.",9,-58.50877521,-34.66977709
2018-0080,1,MASCULINO,26,PEATON,PEATON,AUTO,2018-07-25,2,22,"Alberdi, Juan Bautista Av. y Carhue",AVENIDA,"ALBERDI, JUAN BAUTISTA AV.","ALBERDI, JUAN BAUTISTA AV. y CARHUE",CARHUE,9,-58.51232237,-34.6590353
2018-0081,1,MASCULINO,35,PEATON,PEATON,MULTIPLE,2018-07-29,2,6,Castañares Av. y Rivera Indarte Av.,AVENIDA,CASTANARES AV.,CASTAÃARES AV. y RIVERA INDARTE AV.,RIVERA INDARTE AV.,7,-58.44744156,-34.64567171
2018-0082,1,FEMENINO,17,CONDUCTOR,MOTO,CARGAS,2018-08-01,2,15,"Larrazabal y Garzon, Eugenio, Gral. Av.",AVENIDA,LARRAZABAL,"LARRAZABAL y GARZON, EUGENIO, GRAL. AV.","GARZON, EUGENIO, GRAL. AV.",9,-58.49441273,-34.65869968
2018-0083,1,MASCULINO,42,CONDUCTOR,MOTO,CARGAS,2018-08-02,2,5,"Paz, Gral. Av. y Fernandez De La Cruz, F., Gral. Av.",GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y FERNANDEZ DE LA CRUZ, F., GRAL. AV.","FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,-58.47976785,-34.69153196
